id,profile_pic_url,full_name,occupation,headline,summary,1st Recent Experience in Years,Experience,Category 1,Category 2,Category 3
speaker_41,https://media-exp1.licdn.com/dms/image/C5603AQFAmQ9MG3JSnQ/profile-displayphoto-shrink_200_200/0/1554568520789?e=1652918400&v=beta&t=YuVxYvV-BjkNpMpG1akbK64FyrVu8Jch3cZ_A4DpkTg,Alicia Almeida,Creative Marketing Leader at PowerPak Civil and Safety,Senior Integrated Graphic Designer/Creative Marketing/Advertising,"I am primarily an artist at heart. 

I treat every graphic design project as a shared expression: the brand’s identity coupled with my dedication to the brand’s vision.

My passion is to combine extraordinary worlds of art with design practicality. I love to be a part of a team of individuals who are as motivated as I am in bringing ideas together that will make a team thrive creatively!",0.5835616438356165,Creative Marketing Leader,Business,,
speaker_42,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Andrés Alonso de la Gala Torres,Gestor de proyectos de marketing at ANFA PERU,Gestor de proyectos de marketing en ANFA PERU,,4.967123287671233,Gestor de proyectos de marketing,Business,,
speaker_43,https://media-exp1.licdn.com/dms/image/C4E03AQGcXb-sw_FQQA/profile-displayphoto-shrink_200_200/0/1629450233792?e=1652918400&v=beta&t=xWkcQGoqUOqQcIrxAIJ1Gaxevi26VsCcB7GuRv6QbMA,"ABDULGHANI ALANAKI, CDMP",Chief Executive Officer at CONNEXERA Consulting and Development,Chief Executive Officer at CONNEXERA Consulting and Development,I am a Health Care Professional who graduated in 1991 and directly worked in one of MOH facilities and During that time I discovered my passion in Computers and Technology in general and started to develop that passion by learning and experience with assistance of Department of eHealth in the facilities I worked in. In 2018 I started to develop a good experience in Digital Marketing by taking extensive courses in SEO and Social Media Marketing and related services,2.1315068493150684,Chief Executive Officer,Business,,
speaker_44,https://media-exp1.licdn.com/dms/image/C4E03AQGtWeqnCQOTQw/profile-displayphoto-shrink_200_200/0/1615125790437?e=1652918400&v=beta&t=z9yz70M_I13BOS0XO7MkNlbK0MXXE86Fh80eHVsCDlQ,Aaron Stokes,Sales Associate at Men's Wearhouse,Sales Associate at Men's Wearhouse,One day I would like to become an editor for professional video game organizations or work as a production assistant for esports events.,2.468493150684932,Sales Associate,Business,,
speaker_45,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Amanda K.,Executive Assistant at YMCA of Greater Michiana,,,1.964383561643836,Executive Assistant,Business,,
speaker_46,https://media-exp1.licdn.com/dms/image/C4E03AQE265sM6pUoFQ/profile-displayphoto-shrink_200_200/0/1543946093483?e=2147483647&v=beta&t=aUc1l6XtHIGcH-XSK18cpanfYVJVU9Z62U7FZRvNokA,Adriana M. Arispe,Marketing Director at HANDSOME,Marketing Director at HANDSOME,"Results-driven marketing professional with over 12 years experience developing and executing marketing strategies. Demonstrated skills in strategic planning, project management, promotional analysis, social media strategy, email marketing, and traditional media. Self-motivated, proactive, and forward thinking. Proven ability to not only identify opportunities, but also build and execute strategies needed to maximize revenue and profitability.",1.8821917808219173,Marketing Director,Business,,
speaker_47,https://media-exp1.licdn.com/dms/image/C4E03AQGijUNDd-PC0A/profile-displayphoto-shrink_200_200/0/1643210296641?e=1652918400&v=beta&t=SmvFusxOnLIDcyIYkmg-VEpUEnWVTpVBENBjQpKj4Sw,Anthony Antonicello,Director of Sales Development at LeaseQuery,Director of Sales Development at LeaseQuery,,2.797260273972603,Director of Sales Development,Business,,
speaker_48,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Ana Antunes,Member Consultant I at Verity Credit Union,Banking with a purpose I Banking for change I,"Self-starter, entrepreneur, with strong positive attitude and customer service skills. My commitment is in building trust, listening to customer concerns and finding the perfect solution. Being Portuguese-American, native in Portuguese, fluent in English and Spanish, and a world traveler helps me communicate effectively with people from diverse backgrounds and bring a global perspective to the table.",1.8821917808219173,Member Consultant I,Business,,
speaker_49,https://media-exp1.licdn.com/dms/image/C5603AQF8n1jhF87oRw/profile-displayphoto-shrink_200_200/0/1516972386730?e=2147483647&v=beta&t=ZaP9hOANhbw4lYFQ7HreSDPB_1b663AbkqqY05ioqaY,Aadil Panjwani,Sales Associate at MetroPCS,Sales Associate at MetroPCS,"I am currently attending school at Brookwood High School. In addition, I am in a program called Dual Enrollment that allows me to attend Georgia Gwinnett College in order to get credit for both High School and College. While being a full time college student, I also have been working as a Sales Associate at MetroPCS for a year now. While working at MetroPCS, I have developed many skills that I feel will benefit me for future careers such as: Customer Service skills, talking skills, and tech-support skills.",7.471232876712329,Sales Associate,Business,,
speaker_50,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Angela Rosenow,Regional Sales Manager at Interior Define,Regional Sales Manager at Interior Define,"Regional Manager with diverse expertise in the planning and execution of sales strategies, implementing client success initiatives and leading highly-successful teams.  Excellent history of building key business relationships and leading sales lifecycle to increase revenue.",2.882191780821918,Regional Sales Manager,Business,,
speaker_51,https://media-exp1.licdn.com/dms/image/C4E03AQGe_b0mjDSzNQ/profile-displayphoto-shrink_200_200/0/1622749209565?e=1652918400&v=beta&t=Sli7ZqeSZyWbKynACL3PgnqE1MD6U0t0J6MQwRfCpoM,Jason Cole,National Executive Director at National Minority Contractors Association,National Executive Director,"35yrs experience in project management,  construction management,  capital management, sales management and talent management",1.964383561643836,National Executive Director,Business,,
speaker_52,https://media-exp1.licdn.com/dms/image/C4E03AQFt9Q8vO8iU5A/profile-displayphoto-shrink_200_200/0/1516546879412?e=1652918400&v=beta&t=sHzMLK_v8rnE4MHSP8-BmKhm1GESnR7YWXNdU0zzhxY,Ali Kazmi,NE U.S | Sr. Media & Entertainment Data & Ai SSP at Microsoft,Digitally Innovating Media & Entertainment Enterprises,"A grateful personality that is curated from a relentless pursuit of global experiences, from the PlayStation 1 and the .com boom to the Jetsons age we live in. Showed him through humility comes true innovation that changes the processes of our lives for the better.

Understandings and Skill Sets: 
Business Consulting | Enterprise Tech Sales Delivery | Azure Cloud Solutions | Blockchain | Intelligent Edge & Internet of Things | Big & Transactional Data Architecture |  Business Intelligence | Machine Learning | Cognitive Services (Ai) | SharePoint Deployments |  Business Process Automation  | Dynamics CRM ERP | SEO/SEM PPC Conversion Marketing Funnels | Public & Enterprise Social Networking | Global Digital Marketing Management",2.5506849315068494,NE U.S | Sr. Media & Entertainment Data & Ai SSP,Entertainment,Tech,Media & News
speaker_53,https://media-exp1.licdn.com/dms/image/C4D03AQFXeEobRRYErA/profile-displayphoto-shrink_200_200/0/1517538630021?e=1652918400&v=beta&t=JANSI0I2EjKaNut5iUR_i_767bxIOIGJIvLvXtQDA4U,John Valenti,Lead Set Dressing Artist at Bethesda Game Studios,Lead Set Dressing Artist at Bethesda Game Studios,"•       Self-Taught Artist
•	12 years of Video Game Art and Development
•	10+ Shipped Game titles
•	Proficiency in High and low poly modeling, world building, environment art, visual storytelling, environment design, sculpting, texturing, optimization, and map extraction
•       Skills in both Hard surface and Organic modeling
•	Experience with Physically Based Rendering pipeline
•	Strong knowledge of color, form, composition and structure

Software							                                   
•	3ds Max, Blender, Maya
•	Zbrush
•	Marvelous Designer
•	Photoshop, Substance Suite, Quixel Suite
•	Unreal Engine, Cryengine, Unity",9.136986301369864,Lead Set Dressing Artist,Entertainment,,
speaker_54,https://media-exp1.licdn.com/dms/image/C5103AQFONaL3PQLKtQ/profile-displayphoto-shrink_200_200/0/1517581363126?e=2147483647&v=beta&t=IOhsFXbt4GnaX-8a0ggyjWVC9c0LSirBxPYqJZKIgzA,Aaron A. Roberts,Freelance Musician at $20 Buzz,"Everyone's a genius in a bull market...
The status quo wont save you.","Fintech 

US Equities Market Research

Cryptocurrency Fiduciary",6.553424657534246,Freelance Musician,Entertainment,,
speaker_55,https://media-exp1.licdn.com/dms/image/C5603AQE8JQOOgFQQnw/profile-displayphoto-shrink_200_200/0/1516970527498?e=1652918400&v=beta&t=DkTw8wjgK4CxKHFQ5bd1lFKkcUpFDr9S6Czd9QKT8K0,AANA .,Artist at Good Day Records,Singer - Songwriter - Producer,,9.306849315068494,Artist,Entertainment,,
speaker_56,https://media-exp1.licdn.com/dms/image/C5603AQGJ-n1kK_oEFQ/profile-displayphoto-shrink_200_200/0/1565116818906?e=2147483647&v=beta&t=-ikJB30E1_ODgIJuQvTmn6jjEFGU48IAp2waNss5NYk,Aanch Khaneja,Head of Film and Television at SuperSpecial / Amy Aniobi,Head of Film/TV at SuperSpecial,"Specialties: Content creation, film development and production, script coverage and treatment writing.",2.0493150684931507,Head of Film and Television,Entertainment,,
speaker_57,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aarah Aizman,Artist at Aizman Art,Artist.  Educator.  Friend,"Aizman is a Minneapolis artist who uses a variety of mediums to facilitate personal and community empowerment. Her passion is employing art in group settings as a hands-on metaphor for exploring life. She works primarily with high school students and offers seminars at women's retreats. Aarah's favorite work is with at-risk youth. ""They have so much raw passion, and it's just overlooked so much of the time,"" she explains. ""There is nothing more rewarding for me than witnessing how peers can cultivate trust and foster relationships through art-making experiences."" Aizman engages her students in a wide array of mediums, demonstrating how to identify and respect each medium's own unique set of strengths, limitations, and vulnerabilities. 

Aizman has a B.A. in Art & Community with a focus on the practical implications of the psychological and spiritual nature of creativity. 

Group classes
Private classes
Retreats 
Speaking
Exhibit juror",31.81917808219178,Artist,Entertainment,,
speaker_58,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aaliyah Allen,Technical Artist at Swivel,Technical Artist at Swivel,"ENTJ-A

I am a graduate of the University of the Incarnate Word with a B.A., in Interior Design. Throughout my life, I have found my passion in breaking the threshold of average design with bold decisions and innovative ideas through a high-caliber work ethic.
​
I specialize in construction documentation, technical drawing, and 3D modeling and rendering using various computer software. My strengths rely on methodical skill and the ability to think outside of the box when an opportunity presents itself. I strive to be successful in creating significant details in architecture and interior spaces with a creative approach to design and most importantly, collaboration.

Interior Design 
Furniture Design
3D Software
Building Code Analysis
Leadership
Project Management 
Critical Thinking
Craftsmanship",1.797260273972603,Technical Artist,Entertainment,,
speaker_59,https://media-exp1.licdn.com/dms/image/C5603AQGF4sJm-z57Zw/profile-displayphoto-shrink_200_200/0/1596098673790?e=2147483647&v=beta&t=wHvH-uoEyIetpXW-SbG1Ida3l5zsrqDqeunZtwJvoSc,Ameen Allaith,Technical Artist at Epic Games,Technical Artist at Epic Games,"I am a Visual Effects Graduate Student from SCAD, my main focus is Technical Art & Visual Effects. I’m passionate about combining my artistic and technical skills, I find joy and excitement facing new challenges.",2.797260273972603,Technical Artist,Entertainment,,
speaker_60,https://media-exp1.licdn.com/dms/image/C4D03AQEHy13WgSXq0A/profile-displayphoto-shrink_200_200/0/1517556165164?e=1652918400&v=beta&t=aFEyUWowVyxmU7a9HMdFRse80nVFQ34t5R-08T3k4ng,Aaren Keith,Actor at Washington Savoyards,Actor/Singer,"Specialties: Jazz Vocal Skills, Ukulele, Limited Guitar Playing, Can Learn Accents Quickly, Sight Singing, Can Speak In ""Obby Dobby"", Intermediate/Advanced Sewing Skills, Nanny Experience",0.2465753424657534,Actor,Entertainment,,
speaker_61,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Anita Angulo,3D Artist at ANGU3D (Self),Freelance 3D Artist,"3D modeling, texturing, lighting, and rendering. 
Emphasis is in lighting and rendering.

Specialties: Proficient in Maya, After Effects, Photoshop, and Vray for Maya
Working knowledge in Zbrush, and Nuke.",12.30958904109589,3D Artist,Entertainment,,
speaker_62,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Alexander Sokolov,Visualization Artist at Moving Picture Company,Lead Visualization Artist,"Lead Visualization Artist with more than 15 years of work experience. Feature films such as Terminator: Dark Fate (2019), Jumanji: The Next Level (2019), Wanted (2008). Various shows, and ceremonies (Olympic Games 2010-2014).  
http://alexandersokolov.com",0.3315068493150685,Visualization Artist,Entertainment,,
speaker_63,https://media-exp1.licdn.com/dms/image/C4D03AQH6IePrgtkKQQ/profile-displayphoto-shrink_200_200/0/1636766326591?e=1652918400&v=beta&t=qaSzvYJR3RLG3JW_XDsKVF0h2hBQEmLatxmiwqfMLYM,Aarif Attarwala,Lead Flame Artist at The-Artery,Lead Flame Artist at The-Artery,"I am a Computer Artist, focusing on Compositing. I am from Mumbai, India and am currently working in New York City.",1.964383561643836,Lead Flame Artist,Entertainment,,
speaker_64,https://media-exp1.licdn.com/dms/image/C5603AQF8xe2a9CgO7g/profile-displayphoto-shrink_200_200/0/1549509902286?e=1652918400&v=beta&t=1L9N3jVU6JFSrbnk6nadKll3KJ3pObQgHaUOyWGPxJc,Aditya Alurkar,"Researching my ""Next play"" at Self-Employed","Researching my ""Next play""","""Simplicity"" is my mantra. I enjoy the dynamics of smaller companies and groups. I am a firm believer in teamwork.

Deeply experienced in early stage startups and hyper-growth in highly successful internet companies, I have ""lived through most of it (if not all).""  I can take on tasks including the nitty gritty of designing and implementing systems for data processing at scale,  to understanding the technical and human challenges in building a high performing globally distributed organization.

I am now involved in developing technology and solutions to help support data growth at hyper-scale. Our technology will help any data-centric application running on scale-out servers connect to any data stores with guaranteed performance characteristics.",2.964383561643836,"Researching my ""Next play""",Entertainment,,
speaker_65,https://media-exp1.licdn.com/dms/image/C4E03AQHBBY4lcFB__w/profile-displayphoto-shrink_200_200/0/1560110563587?e=1652918400&v=beta&t=tcEQJv0WwmkXqbcVnPQw8hx4_KfsThg0oIE6z5PrdJc,Aadithya Jeyaranjan,Thin film module engineer at Intel Corporation,Materials Engineer,"•	Materials engineer with 8+ years of experience working on diverse materials related projects 

•	Expertise in design, synthesis & testing of a wide range of materials (ceramics, polymers & composites). Extensive experience with physical & chemical characterization for thin film coatings, supercapacitors, Li-ion batteries, thermal spray coatings, and corrosion-resistant coatings. 

•	Proficient with statistical analysis, DOE, root cause analysis, FMEA, & automation. Hands-on experience in collaborating with cross-functional research groups, startups & commercial manufacturers  to develop functional nanomaterials for multiple applications (nano-energetics, corrosion). 

•      Results-oriented team player with a unique combination of outstanding verbal/written skills (20+ conferences, 8 publications), self-motivated personality.  Proven ability to lead and handle multiple projects & meeting tight deadlines in a fast-paced multifaceted work environment. 

Skills
•	Process development, equipment installation & maintenance, market and product knowledge, strategic planning, multi-project management, task-force management.

•	Materials characterization:  SEM, EDS, XRD, XPS, Raman spectroscopy, Electrochemical testing – supercapacitors, corrosion, and sensors; DLS, FT-IR, TGA, DSC, TOC, UV-vis, PL spectroscopy, surface area analyzer, AFM, Nanoindenter, Universal testing machine, Freeze dryer, Spray dryer - Buchi-290, Thermal spray system – Praxair TAFA, Industrial Robot – ABB IRB 4, Metallographic sample preparation, Microhardness Tester, Universal testing machine, Pin-on disk, Profileometer, Optical Microscopy

•	Softwares: Python, JMP, EC-Lab, Z view, MS Office, Origin, MATLAB

•	Can be reached at aadithya916@gmail.com",2.6356164383561644,Thin film module engineer,Entertainment,Tech,
speaker_66,https://media-exp1.licdn.com/dms/image/C4E03AQHjuYR7QWAmfg/profile-displayphoto-shrink_200_200/0/1572072710821?e=1652918400&v=beta&t=Bhu1MQ8iDajrQoSET7KACG9WfNq4fTGn9g-z_c7FPFc,Andrew Jarrin,Artist Manager at Roc Nation,Artist Management at Roc Nation,,3.8,Artist Manager,Entertainment,,
speaker_67,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aariel Hall,Artist/Animator at Freelance,Character Artist,"Hello, my name is Aariel. I'm a multi-talented artist seeking potential opportunities. 
       Whether it's 3D, 2D, animation, or illustration I can offer my creative energy to your future projects.  If you are looking for a creative, resourceful, and hard working artist with a great attitude, don't hesitate to contact me and we can find out if we are a good fit. Feel free to check out my online portfolio at aarielhall.com as well.",2.6356164383561644,Artist/Animator,Entertainment,,
speaker_68,https://media-exp1.licdn.com/dms/image/C4E03AQFnXsvjAjk70A/profile-displayphoto-shrink_200_200/0/1632905252069?e=2147483647&v=beta&t=WdJ_2dfCZvPWvKQRGQRe_H2K9jr81Y8INt0iia9a9rk,Anthony Zecca,Artist at Anthony Zecca Art,"Realtor by day, Artist by night","An enterprising, results driven professional that excels in Sales and development of business opportunities with a diverse background encompassing product launches, Healthcare and Management. Strong team-building skills have led to the creation of new strategies, as well as the establishment of positive working relationships within both internal and external partners. Highly respected leader who is always willing to take the initiative and learn from others. An expert in the healthcare and wellness sector that continues to exceed company expectations",9.96986301369863,Artist,Entertainment,,
speaker_69,https://media-exp1.licdn.com/dms/image/C4E03AQETM4x8fbs7gg/profile-displayphoto-shrink_200_200/0/1518630821872?e=1652918400&v=beta&t=0nbE0lAyyHUpMIj1QjPZgxD9AG2IzsKMFDLoWC5jlYk,Aamir (Skrill Gates) Zaid,Artist/Partner at TrakNation,"Entertainment Executive, Music Artist, Song/Film Writer, & Motivational Speaker","Aamir (Skrill Gates) Zaid, known for being extremely vocal in his community, has worked tirelessly over the past 10 years to empower troubled youth by providing guidance and support and to expose them to new possibilities. 

Film Endeavors:
Aamir is currently working on a film script that is centered around the lifestyles of troubled youth, yet focuses on unexpected, but positive outcomes.   

The Musical Approach:
Skrill Gates focuses his lyrics on the realities of life in the streets versus the over sensationalized façade of the entertainment industry. His music documents the untold stories of young men growing up in the ghetto and the choices they are required to make to survive. Although Skrill Gates has worked with many established artists and producers such as Aaron Carter, he prefers to allow his “Reality Music” sound to speak for itself. 

Community Ties:
With his program, Project A.A.M.I.R., he seeks to touch the lives of young men in crisis who need support and skill development with managing anger, overcoming negative self-esteem, racism, and peer pressure. Aamir's approach to counseling uses real life situations and examples, which can sufficiently build the skills needed to survive in a society that seeks to solve the issue of troubled adolescents with incarceration.",18.312328767123287,Artist/Partner,Entertainment,,
speaker_70,https://media-exp1.licdn.com/dms/image/C4E03AQE_XwSA13uGmA/profile-displayphoto-shrink_200_200/0/1639598268136?e=2147483647&v=beta&t=tmbJcUpgZClv7djhFqc8gXT-priV3TuJMf5yHO1semk,Angel Andino,3D Artist at FARRELL COMMUNICATIONS,3D Artist specializing in environments.,"I'm a 3D Artist and graduate of The Dave School with an Associates in Game Development.  I have a passion for the industry and am committed to developing exciting and engaging environments. I am a firm believer in having a growth mindset and continuing to grow and develop my skills. 

You can view my portfolio at - aandino.artstation.com/",2.964383561643836,3D Artist,Entertainment,,
speaker_71,https://media-exp1.licdn.com/dms/image/C5603AQEpwEkOUpuBWA/profile-displayphoto-shrink_200_200/0/1579316660186?e=1652918400&v=beta&t=5oqf3JyxA08MZJ066j6YEtI5UPprm5jzc0nHCtBRloQ,Bryce Johnson,Freelance 3D Artist at Aarkitekkt,Freelance Web Developer / Designer / 3D Artist at Aarkitekkt,"Full Stack Developer with an emphasis on Front End/UI Design, 3d artist, designer. Masters Degree in Architecture with professional experience in graphic design, product design, and 3D animation.",5.8,Freelance 3D Artist,Entertainment,,
speaker_72,https://media-exp1.licdn.com/dms/image/C5603AQHbNI5HKaLCnw/profile-displayphoto-shrink_200_200/0/1517518125169?e=1652918400&v=beta&t=AYuCpA0flYNwA7eHWqwd46FrjXIIEU2LP0tN7_g_Ukg,Andrey Airapetov,Film Director / Videographer / Producer at AirstudiA,Filmmaker at AirstudiA,"Andrey Airapetov
Film director, Videographer , VJ, Animator. 
Films, TV, Music videos and Video-art .
Professional Experience: Director - producer of russian TV companys: MUZ TV, MTV, NTV, TNT and other. 
Music videos for: Scofferlane, Bad Randall, Lost Weekend, Nike Borzov, Da Budz etc.
Since August 2011 goes online documentary series about rock mythology ""ROCK island""
Plans to launch the eponymous full-length feature films.",23.898630136986306,Film Director / Videographer / Producer,Entertainment,,
speaker_73,https://media-exp1.licdn.com/dms/image/C4E03AQESbtvIEfKjkw/profile-displayphoto-shrink_200_200/0/1626105069178?e=1652918400&v=beta&t=XaMF5M8xQJKsYd27rP39MY2uCPFrltNe5GncDJ2spzg,Aaliyah Phounsavath,"Assistant Director of Social Media, In-Game Entertainment, & Promotions at Columbus Clippers Baseball Team","Assistant Director of Social Media, In-Game Entertainment, & Promotions at Columbus Clippers Baseball Team","I’m the Assistant Director of Social Media, In-Game Entertainment, & Promotions for the Columbus Clippers Baseball Team. I’m a May 2020 graduate of the Fisher College of Business at The Ohio State University. In my 4 years at Ohio State, I was able to learn credible skills in marketing, social media, and graphic design that I’m using in my day-to-day work with the Columbus Clippers. I’m also responsible for assisting in creating and administering content on all social media platforms such as Facebook, Instagram, Twitter, and TikTok to build an audience and ensure fan engagement. As well as, assisting for in-game on field entertainment and promotions.
 
If you’d like to learn more about the Columbus Clippers or if we can be of service to you in any way, please reach out via email: aphounsavath@clippersbaseball.com",3.635616438356165,"Assistant Director of Social Media, In-Game Entertainment, & Promotions",Entertainment,Media & News,
speaker_74,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aaron Beam,Musician at Motorfang Touring Inc,"Stop-Motion Animation Puppet Dept Coorindator
and Musician","After 9 years of playing music professionally, the pandemic changed the world. I was lucky enough to be able to return to my previous profession as a puppet fabrication coordinator in the stop motion film industry. Originally hired as a consultant to develop a tracking system for puppet assets as they traveled between fabricators during lockdown, I was eventually hired on full-time to implement the system as the production returned to in-studio work. As the pandemic began to ease, I imagined my band would begin touring again, but the delta variant had other ideas, so I am back on the market looking for job opportunities in stop-motion production as a coordinator.

I got my start helping the paint department track faces on Coraline at Laika. I then helped develop a long-term flexible schedule during pre-production for Paranorman. My latest position was as Puppet Fabrication Coordinator on Wendell & Wild, a Netflix production.",12.643835616438356,Musician,Entertainment,,
speaker_75,https://media-exp1.licdn.com/dms/image/C4D03AQF7uAsgD2nVNA/profile-displayphoto-shrink_200_200/0/1610229854721?e=1652918400&v=beta&t=qRLIrfoRWdbf2BGiHi4JC5-uDZZQGPXwkEBW4Uw3qIM,Aaquib Mohammed,Product Manager (Free to Play) at Genius Sports,Product Manager (F2P) at Genius Sports,"Experienced Business Developer with a demonstrated history of working in the information technology and services industry. Skilled in Negotiation, Event Management, and Market Research.",1.8821917808219173,Product Manager (Free to Play),Entertainment,,
speaker_76,https://media-exp1.licdn.com/dms/image/C4E03AQGYvBKkpHBWyg/profile-displayphoto-shrink_200_200/0/1516365267144?e=2147483647&v=beta&t=C7BacA7shhoAM9DQnx7NeuMv8Yx_z0bDe934BnH0sVo,Aaron Drew,"Proprietor, artist/ Printmaker at Drogo Press",Drogo Press,,10.306849315068494,"Proprietor, artist/ Printmaker",Entertainment,,
speaker_77,https://media-exp1.licdn.com/dms/image/C4E03AQEU0ummO0nZ6Q/profile-displayphoto-shrink_200_200/0/1516787081743?e=1652918400&v=beta&t=dNiTHQIuJJfAi61YtnK0GPlVEt-URu2yJaj6a9aLcG4,Alicia Ruskey,Graphic Artist at Call Newspapers,Graphic Artist at Call Newspapers,,0.7479452054794521,Graphic Artist,Entertainment,,
speaker_78,https://media-exp1.licdn.com/dms/image/C5603AQHybezOWyJ5PA/profile-displayphoto-shrink_200_200/0/1621061344011?e=2147483647&v=beta&t=FHkOnG2crsjnwlXXz4FGOr2OIRCDNCbjNq4JTF8ItHw,Alvin Lin,Computer Science Curriculum Designer and Academic Coach at Freelance,Full Stack Web Developer,"I'm Alvin, a full stack web developer who is passionate about education. I have always tried to find ways to make math and science education exciting and relevant to students, and I believe that the web technologies we have today allow for many creative ways to accomplish this goal. My plan is to continue to create tools and applications that will greatly enhance the learning experience for both students and teachers in the classroom.",0.663013698630137,Computer Science Curriculum Designer and Academic Coach,Sport,Academic,
speaker_79,https://media-exp1.licdn.com/dms/image/C5603AQHRmxVs90SDJw/profile-displayphoto-shrink_200_200/0/1517019377950?e=1652918400&v=beta&t=9MY6m1PFrDGuwEGHvL9stLXA5stn9r8CEl7A1D56Kmw,Aaron Bummer,Professional Athlete at Chicago White Sox,Professional Athlete at Chicago White Sox,,9.389041095890413,Professional Athlete,Sport,,
speaker_80,https://media-exp1.licdn.com/dms/image/C4E03AQFM2sOTEi4ANw/profile-displayphoto-shrink_200_200/0/1604430945239?e=2147483647&v=beta&t=t3yrZxoUToR8MPGaSj99GF1QxlRI2VEQ_m6HPV0t8Fk,Ahmed Abdelaal,"Support Coach at Software Development Mastery, Inc.",Fullstack Web Developer JavaScript | Node | React | PostgreSQL,"I'm a curious software developer that loves building web applications, products and thrives on getting better each day.  I've been developing Full Stack applications for the past 2 years. I am currently a support-coach @ Software Development Mastermind.

I've been coding using React on the frontend and NodeJS on the backend. I prefer PostgreSQL as a db, but have used others such as MongoDB. When I'm not coding or working on new features, I spend my time improving code quality by refactoring and introducing design patterns I learn about.

I have many hobbies; the one I am most passionate about is traveling, I LOVE to travel, learn about different cultures and see other places. I also enjoy woodworking, I've made a few things including a coffee table and a small seating bench. 

👨‍💻 https://aa-dev.io",3.3013698630136985,Support Coach,Sport,,
speaker_81,https://media-exp1.licdn.com/dms/image/C5603AQGpeV7fndlDbg/profile-displayphoto-shrink_200_200/0/1571790360095?e=1652918400&v=beta&t=QNuKJIK437h3inSOF3z4o_EZ-9Sd4vxFAuZmfVQYRis,Aaron Connelly,Coach at Seattle Wave Baseball,Hardworking employee looking for new opportunities,Graduate of Washington State University with a major in Sport Management and minoring in Business Administration and Communications. I am Looking for opportunities to further my experience and knowledge.,7.471232876712329,Coach,Sport,,
speaker_82,https://media-exp1.licdn.com/dms/image/C5603AQE870790_yNGQ/profile-displayphoto-shrink_200_200/0/1628692593726?e=2147483647&v=beta&t=lbVYjFyxv9ZmLTDcFb2q1-itDXaHy2P7WmhXFsedIxs,Abigail Chamberlin,Sports Coach at MEGUNTICOOK ROWING,Dartmouth '21,"Highly logical and energetic individual with expertise in geography, environmental science, and client relations with applied research skills and foundational educational background. Curious, creative, and talented leader with diverse background in research, analytics, and testing. Emotionally intelligent individual skillful in building sustainable relationships, establishing environmental assessments, and conducting complex research independently and in team settings. Demonstrated excellence and efficiency in writing, communication, data analysis, professional judgment, and knowledge of scientific principles. Proven results and demonstrated flexibility in creating meaningful models, initiating process design, and managing projects in dynamic, fast-paced environments. Strong communication skills that build partnerships and influence decision-makers.",3.3835616438356166,Sports Coach,Sport,,
speaker_83,https://media-exp1.licdn.com/dms/image/C4E03AQEqIWxymzJ4Cw/profile-displayphoto-shrink_200_200/0/1598292468187?e=1652918400&v=beta&t=VVmCJDbV9cMcMUkknKP_G62GTTv_r_UZiTzY1aq0Pog,Aaron Chisholm,Swim Coach at Armfield Farm Stingray,Honors Student and Student Athlete at Paul VI Catholic High School,"Driven and self-disciplined, I enjoy running, swimming, piano, trumpet, Rangers and faith-based activities",4.471232876712329,Swim Coach,Sport,,
speaker_84,https://media-exp1.licdn.com/dms/image/C5603AQFoqusSPuz_vQ/profile-displayphoto-shrink_200_200/0/1517067248110?e=1652918400&v=beta&t=dY9Cs7j34nnuRWDwRSr4ujZRWxXefWSby-kq9GTqA7E,Aarica Humke,Scholar Coach at AmeriCorps,Scholar Coach at AmeriCorps,"I am a dedicated and hard working individual that aspires to build professional connections, continue to grow my knowledge about the professional world, become more culturally competent, and use my skills and abilities to help individuals and families reach their full potential. I am open to all opportunities that relate to my field of study, Human Development and Family Studies, and look forward to gaining professional experiences. I am particularly interested in and passionate about working with non-profits that connect families in need with community resources.",3.2164383561643834,Scholar Coach,Sport,Academic,
speaker_85,https://media-exp1.licdn.com/dms/image/C4D03AQG1svw08AsWbA/profile-displayphoto-shrink_200_200/0/1517369626427?e=1652918400&v=beta&t=AsBsHUALppsJDZz3CvP4q4Zg9xIV59izlNrifsSZbUk,Aaron Lemke,Assistant Football Coach at Kingdom Prep Lutheran High School,Loss Prevention Officer at Aurora Health Care,"Experienced Security Manager with a demonstrated history of working in the industry. Skilled in Microsoft Word, Time Management, Teamwork, Leadership, and Public Speaking. Graduate from Concordia University-Wisconsin. My ultimate goal is to make a positive difference in the world.",4.3863013698630136,Assistant Football Coach,Sport,,
